,index,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,norm_value,pIC50
1002,1082,CHEMBL2316580,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2c(cnn2C)c1,5.4,active,546.5970000000002,4.695020000000004,1.0,6.0,5.4,8.267606240177031
1003,1083,CHEMBL2316579,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccc2[nH]ncc2c1,34.8,active,531.5820000000002,5.289620000000005,2.0,4.0,34.8,7.458420756053419
1004,1084,CHEMBL2316872,COc1n[nH]c2ncc(C#Cc3cc(C(=O)Nc4ccc(CN5CCN(C)CC5)c(C(F)(F)F)c4)ccc3C)cc12,16.53,active,562.5960000000002,4.693220000000005,2.0,6.0,16.53,7.781727146428553
1005,1085,CHEMBL2316871,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]nc(-c3ccccc3)c2c1,10.58,active,608.6680000000002,6.351620000000006,2.0,5.0,10.58,7.975514332300833
1006,1086,CHEMBL2316870,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]nc(C3CC3)c2c1,2.9,active,572.6350000000001,5.562020000000005,2.0,5.0,2.9,8.537602002101044
1007,1087,CHEMBL2316869,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]nc(C)c2c1,1.3,active,546.5970000000002,4.993040000000004,2.0,5.0,1.3,8.886056647693163
1008,1088,CHEMBL2316586,CN1CCN(Cc2ccc(NC(=O)c3ccc(Cl)c(C#Cc4cnc5[nH]ncc5c4)c3)cc2C(F)(F)F)CC1,2.16,active,552.988,5.029600000000005,2.0,5.0,2.16,8.665546248849068
1009,1089,CHEMBL2316585,CN1CCN(Cc2ccc(NC(=O)c3ccc(C4CC4)c(C#Cc4cnc5[nH]ncc5c4)c3)cc2C(F)(F)F)CC1,11.38,active,558.6080000000001,5.253600000000004,2.0,5.0,11.38,7.943857737940948
1010,1090,CHEMBL2316584,CCc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ncc2c1,4.93,active,546.5970000000002,4.938600000000004,2.0,5.0,4.93,8.30715308072277
1011,1091,CHEMBL2316583,CN1CCN(Cc2ccc(NC(=O)c3cccc(C#Cc4cnc5[nH]ncc5c4)c3)cc2C(F)(F)F)CC1,0.99,active,518.5430000000001,4.3762000000000025,2.0,5.0,0.99,9.00436480540245
1012,1092,CHEMBL2316582,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ncc2c1,0.27,active,532.5700000000002,4.684620000000004,2.0,5.0,0.27,9.568636235841012
1013,1093,CHEMBL1171837,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,1.39,active,532.5700000000002,4.456020000000003,1.0,6.0,1.39,8.856985199745905
1015,1095,CHEMBL255863,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,702.4,active,529.5260000000001,6.355840000000005,2.0,7.0,702.4,6.153415497101954
1017,1097,CHEMBL2316581,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ncnn2c1,6.1,active,533.5580000000002,3.8510200000000028,1.0,7.0,6.1,8.214670164989233
1018,1098,CHEMBL2316580,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2c(cnn2C)c1,3.2,active,546.5970000000002,4.695020000000004,1.0,6.0,3.2,8.494850021680094
1019,1099,CHEMBL2316579,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccc2[nH]ncc2c1,82.2,active,531.5820000000002,5.289620000000005,2.0,4.0,82.2,7.0851281824599495
1020,1100,CHEMBL2316872,COc1n[nH]c2ncc(C#Cc3cc(C(=O)Nc4ccc(CN5CCN(C)CC5)c(C(F)(F)F)c4)ccc3C)cc12,15.81,active,562.5960000000002,4.693220000000005,2.0,6.0,15.81,7.801068130067791
1021,1101,CHEMBL2316871,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]nc(-c3ccccc3)c2c1,3.38,active,608.6680000000002,6.351620000000006,2.0,5.0,3.38,8.471083299722345
1022,1102,CHEMBL2316870,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]nc(C3CC3)c2c1,2.07,active,572.6350000000001,5.562020000000005,2.0,5.0,2.07,8.684029654543082
1023,1103,CHEMBL2316869,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]nc(C)c2c1,0.75,active,546.5970000000002,4.993040000000004,2.0,5.0,0.75,9.1249387366083
1024,1104,CHEMBL2316586,CN1CCN(Cc2ccc(NC(=O)c3ccc(Cl)c(C#Cc4cnc5[nH]ncc5c4)c3)cc2C(F)(F)F)CC1,1.09,active,552.988,5.029600000000005,2.0,5.0,1.09,8.962573502059376
1025,1105,CHEMBL2316585,CN1CCN(Cc2ccc(NC(=O)c3ccc(C4CC4)c(C#Cc4cnc5[nH]ncc5c4)c3)cc2C(F)(F)F)CC1,53.73,active,558.6080000000001,5.253600000000004,2.0,5.0,53.73,7.269783159431306
1026,1106,CHEMBL2316584,CCc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ncc2c1,2.36,active,546.5970000000002,4.938600000000004,2.0,5.0,2.36,8.627087997029893
1027,1107,CHEMBL2316583,CN1CCN(Cc2ccc(NC(=O)c3cccc(C#Cc4cnc5[nH]ncc5c4)c3)cc2C(F)(F)F)CC1,0.76,active,518.5430000000001,4.3762000000000025,2.0,5.0,0.76,9.119186407719209
1028,1108,CHEMBL2316582,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ncc2c1,0.68,active,532.5700000000002,4.684620000000004,2.0,5.0,0.68,9.167491087293763
1029,1109,CHEMBL1171837,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,0.33,active,532.5700000000002,4.456020000000003,1.0,6.0,0.33,9.481486060122112
1030,1110,CHEMBL1421,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,0.26,active,488.01700000000034,3.3135400000000015,3.0,9.0,0.26,9.585026652029182
1031,1111,CHEMBL255863,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,43.5,active,529.5260000000001,6.355840000000005,2.0,7.0,43.5,7.361510743045363
1032,1112,CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,98.2,active,493.6150000000002,4.590320000000004,2.0,7.0,98.2,7.00788851221305
1033,1113,CHEMBL2316581,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ncnn2c1,3.2,active,533.5580000000002,3.8510200000000028,1.0,7.0,3.2,8.494850021680094
1034,1114,CHEMBL2316580,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2c(cnn2C)c1,1.49,active,546.5970000000002,4.695020000000004,1.0,6.0,1.49,8.826813731587725
1035,1115,CHEMBL2316579,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccc2[nH]ncc2c1,13.9,active,531.5820000000002,5.289620000000005,2.0,4.0,13.9,7.856985199745905
1036,1116,CHEMBL2316872,COc1n[nH]c2ncc(C#Cc3cc(C(=O)Nc4ccc(CN5CCN(C)CC5)c(C(F)(F)F)c4)ccc3C)cc12,7.9,active,562.5960000000002,4.693220000000005,2.0,6.0,7.9,8.102372908709558
1037,1117,CHEMBL2316871,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]nc(-c3ccccc3)c2c1,4.8,active,608.6680000000002,6.351620000000006,2.0,5.0,4.8,8.318758762624412
1038,1118,CHEMBL2316870,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]nc(C3CC3)c2c1,0.84,active,572.6350000000001,5.562020000000005,2.0,5.0,0.84,9.075720713938118
1039,1119,CHEMBL2316869,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]nc(C)c2c1,0.75,active,546.5970000000002,4.993040000000004,2.0,5.0,0.75,9.1249387366083
1040,1120,CHEMBL2316586,CN1CCN(Cc2ccc(NC(=O)c3ccc(Cl)c(C#Cc4cnc5[nH]ncc5c4)c3)cc2C(F)(F)F)CC1,0.83,active,552.988,5.029600000000005,2.0,5.0,0.83,9.080921907623926
1041,1121,CHEMBL2316585,CN1CCN(Cc2ccc(NC(=O)c3ccc(C4CC4)c(C#Cc4cnc5[nH]ncc5c4)c3)cc2C(F)(F)F)CC1,7.1,active,558.6080000000001,5.253600000000004,2.0,5.0,7.1,8.148741651280925
1042,1122,CHEMBL2316584,CCc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ncc2c1,1.92,active,546.5970000000002,4.938600000000004,2.0,5.0,1.92,8.71669877129645
1043,1123,CHEMBL2316583,CN1CCN(Cc2ccc(NC(=O)c3cccc(C#Cc4cnc5[nH]ncc5c4)c3)cc2C(F)(F)F)CC1,0.58,active,518.5430000000001,4.3762000000000025,2.0,5.0,0.58,9.236572006437063
1044,1124,CHEMBL2316582,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ncc2c1,0.34,active,532.5700000000002,4.684620000000004,2.0,5.0,0.34,9.468521082957745
1045,1125,CHEMBL2312304,O=C(NCCCN1CCOC1=O)c1cnc(NCc2cc(Cl)ccc2Cl)nc1NC1CCCC1,16360.0,inactive,507.42200000000037,4.3221000000000025,3.0,7.0,16360.0,4.786216700664696
1046,1126,CHEMBL2312303,O=C(NCCCN1CCCC1=O)c1cnc(NCc2cc(Cl)ccc2Cl)nc1NC1CCCC1,12030.0,inactive,505.4500000000003,4.492300000000003,3.0,6.0,12030.0,4.919734372660155
1047,1127,CHEMBL2312301,COc1ccccc1CNc1ncc(C(=O)NCCCN2CCCC2=O)c(NC2CCCC2)n1,30000.0,inactive,466.5860000000004,3.1941000000000015,3.0,7.0,30000.0,4.522878745280337
1048,1128,CHEMBL2312290,COc1ccc(CCNc2ncc(C(=O)NCCCN3CCCC3=O)c(NC3CCCC3)n2)cc1OC,910.0,active,510.63900000000046,3.2452000000000014,3.0,8.0,910.0,6.040958607678906
1049,1129,CHEMBL2312654,Cc1cc(-c2cnc(Nc3cc(Cl)cc(Cl)c3)nc2NC2CCC(N(C)C)CC2)on1,810.0,active,461.3970000000003,5.775120000000004,2.0,7.0,810.0,6.0915149811213505
1050,1130,CHEMBL2312652,CN1CCC(NC(=O)c2cnc(Nc3cc(Cl)cc(Cl)c3)nc2N[C@@H]2COC[C@H]2O)CC1,30000.0,inactive,481.3840000000003,2.5226000000000006,4.0,8.0,30000.0,4.522878745280337
1053,1133,CHEMBL2312645,COc1ccccc1CNc1ncc(C(=O)NC2CCN(C)CC2)c(NC2CCCC2)n1,21110.0,inactive,438.57600000000036,3.275800000000001,3.0,7.0,21110.0,4.675511766692344
1054,1134,CHEMBL2324932,Cc1ccc(NC(=O)c2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cncnc1,40.0,active,461.4470000000001,4.700720000000004,1.0,5.0,40.0,7.3979400086720375
1055,1135,CHEMBL2324932,Cc1ccc(NC(=O)c2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cncnc1,228.0,active,461.4470000000001,4.700720000000004,1.0,5.0,228.0,6.642065152999546
1056,1136,CHEMBL2324931,Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,13.0,active,561.6080000000002,4.423520000000004,2.0,6.0,13.0,7.886056647693163
1057,1137,CHEMBL2324931,Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,27.0,active,561.6080000000002,4.423520000000004,2.0,6.0,27.0,7.568636235841013
1058,1138,CHEMBL2324930,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,15.0,active,532.5700000000002,4.456020000000003,1.0,6.0,15.0,7.823908740944319
1059,1139,CHEMBL2324930,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,45.0,active,532.5700000000002,4.456020000000003,1.0,6.0,45.0,7.346787486224656
1060,1140,CHEMBL2324929,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4ccc(N)nc4)n(C)n3)cc2C(F)(F)F)CC1,22.0,active,512.5400000000002,3.207300000000002,3.0,7.0,22.0,7.657577319177793
1061,1141,CHEMBL2324929,CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4ccc(N)nc4)n(C)n3)cc2C(F)(F)F)CC1,42.0,active,512.5400000000002,3.207300000000002,3.0,7.0,42.0,7.376750709602099
